Found!ဂတိ	ကတိ
Found!ကနဉီး	ကနဦး
Found!ကလဝိကင််	ကလဝိကင်
Found!ကလိဂင််	ကလိဂင်
Found!ကလိဂင််ရ	ကလိဂင်ရ
Found!ခရေးတွေ	ကလေးတွေ
Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ကာကွယ်နိ်ုင်အောင်	ကာကွယ်နိုင်အောင်
Found!ကာရကံရှင်	ကာယကံရှင်
Found!ကာရဝေလ႞	ကာရဝေလ
Found!ကာဠသုတၩ	ကာဠသုတ
Found!ကားကျပ်တာရယ်	ကားကြပ်တာရယ်
Found!ကားမောင်သမား	ကားမောင်းသမား
Found!ကုရုဂင််	ကုရုဂင်
Found!ကူညီး	ကူညီ
Found!ကုူညီစောင့်ရှောက်ရမှာပေါ့	ကူညီစောင့်ရှောက်ရမှာပေါ့
Found!ကဲ့သလို၊	ကဲ့သို့၊
Found!ကောမက်	ကောမန့်
Found!ကော်မီတိ	ကော်မတီ
Found!ကော်မီတီ	ကော်မတီ
Found!ကိုဘဲ	ကိုပဲ
Found!ကိုကော	ကိုရော
Found!ကိုလံဘီယား	ကိုလံဘီယာ
Found!ကိုးကန် ့	ကိုးကန့်
Found!ကိုးကန် ့ 	ကိုးကန့်
Found!ကိုးကန် ့ နဲ ့ 	ကိုးကန့်နဲ့ 
Found!ကောက်ကိုင်လိ်ုက်မိသည်	ကောက်ကိုင်လိုက်မိသည်
Found!ကင်းလွခွင့်	ကင်းလွတ်ခွင့်
Found!ကောင်းကောငး်	ကောင်းကောင်း
Found!ကောင်းကျပါတယ်	ကောင်းကြပါတယ်
Found!ကောင်းပဗျာ	ကောင်းပါ့ဗျာ
Found!ကိုင်တယ်ဖြေရှင်းပေးဖို့	ကိုင်တွယ်ဖြေရှင်းပေးဖို့
Found!ကန်းတော့ပါသည်	ကန်တော့ပါသည်
Found!ကတော့ပွဲ	ကန်တော့ပွဲ
Found!ကုန်ကျမ်း	ကုန်ကြမ်း
Found!ကုန်ဆုူံစေပါတယ်	ကုန်ဆုံးစေပါတယ်
Found!ကုန်ဆုံးပြိး	ကုန်ဆုံးပြီး
Found!ကုန် ပစ္စည် း	ကုန် ပစ္စည်း
Found!ကုတ်သွယ်ရေး	ကုန်သွယ်ရေး
Found!ကတ်မှီသွားနဲ့	ကပ်မှီသွားနဲ့
Found!ကမ္ဘာ့ကျော်	ကမ္ဘာကျော်
Found!ကမ္ဘ္ဒာမှာ	ကမ္ဘာမှာ
Found!ကိ်ုယ် 	ကိုယ် 
Found!ကိုယ်ကျိူး	ကိုယ်ကျိုး
Found!ကိုယ်ကြိုး	ကိုယ်ကျိုး
Found!ကိုယ်ခြင်းစာ	ကိုယ်ချင်းစာ
Found!ကိုယ်ချင်းစာကြည့်စေချင်တယ််	ကိုယ်ချင်းစာကြည့်စေချင်တယ်
Found!ကိုစား	ကိုယ်စား
Found!ကိုယ်စားလည်	ကိုယ်စားလှယ်
Found!ကိ်ုယ်စီနဲ့	ကိုယ်စီနဲ့
Found!ကိုယ့်တိုင်ကစပြီး	ကိုယ်တိုင်ကစပြီး
Found!ကိုယ်တိ်ုင်ကိုယ်ကျ	ကိုယ်တိုင်ကိုယ်ကျ
Found!ကိုယ်တိုင်ဘဲ	ကိုယ်တိုင်ပဲ
Found!ကိ်ုယ်တိုင်လည်း	ကိုယ်တိုင်လည်း
Found!ကိုယ်လုံုးတီး	ကိုယ်လုံးတီး
Found!ကိိုယ်ဟာ 	ကိုယ်ဟာ 
Found!ကိုယ်အလေးချိ်န်	ကိုယ်အလေးချိန်
Found!ကိ်ုယ်ကိုယ့်ကို	ကိုယ့်ကိုယ်ကို
Found!ကို့နိုင်ငံထုတ်ပစ္စည်းကို 	ကိုယ့်နိုင်ငံထုတ်ပစ္စည်းကို 
Found!ကို့ပြည်တငွ်းဖြစ်ကို	ကိုယ့်ပြည်တွင်းဖြစ်ကို
Found!ကိုယ့်အသိစိတ်နဲ့ကိုုယ်	ကိုယ့်အသိစိတ်နဲ့ကိုယ်
Found!ကြေနပ်တာမဟုတ်ဘူး	ကျေနပ်တာမဟုတ်ဘူး
Found!ကြေနပ်နိုင်မှု	ကျေနပ်နိုင်မှု
Found!ကျေးပွန်းစွား	ကျေပွန်စွာ
Found!ကျေးကျွှန်	ကျေးကျွန်
Found!ကျေးငှက်တေအွတကွ်	ကျေးငှက်တွေအတွက်
Found!ကျေးရွာကိ်ု	ကျေးရွာကို
Found!ကျေး၇ွာ	ကျေးရွာ
Found!ကျော်လွှာ	ကျော်လွှား
Found!ကြက်သရေ	ကျက်သရေ
Found!ကျောက်တငွ်းကြီး	ကျောက်တွင်းကြီး
Found!ကျောင် း	ကျောင်း
Found!ကျောင်းရောက်နေပါပီဏော်	ကျောင်းရောက်နေပါပီနော်
Found!ကျောင် းသား	ကျောင်းသား
Found!ကျောင်းသားတွေဘဲ	ကျောင်းသားတွေပဲ
Found!ကျောင်းသားနဲ့ဘဲ	ကျောင်းသားနဲ့ပဲ
Found!ကျောင်းသွားနေကျ	ကျောင်းသွားနေကြ
Found!ကျောင်အုပ်	ကျောင်းအုပ်
Found!ကျန် သည် ့ 	ကျန် သည့်
Found!ကျမ်းမာရေး	ကျန်းမာရေး
Found!ကျန်းမာရေးဘတ်	ကျန်းမာရေးဘက်
Found!ကျုပ်တို ့က	ကျုပ်တို့က
Found!ကြတော	ကြတော့
Found!ကြပီ	ကြပြီ
Found!ကြျသွားခဲ့ပါတယ်	ကြသွားခဲ့ပါတယ်
Found!ကြာတော့မှာ	ကြာတော့မှ
Found!ကြာပီ	ကြာပြီ
Found!ကြားခဲ့၇တော့တာပါပဲ	ကြားခဲ့ရတော့တာပါပဲ
Found!ကြားဘူးတယ်	ကြားဖူးတယ်
Found!ဂျီး	ကြီး
Found!ကြီးဆိုးလာနိုင်တယ်	ကြီးစိုးလာနိုင်တယ်
Found!ကြိးတာ	ကြီးတာ
Found!ကြီးပြင်းခဲရ	ကြီးပြင်းခဲ့ရ
Found!ကြီးပြင်းခဲ့၇တဲ့	ကြီးပြင်းခဲ့ရတဲ့
Found!ကျေညာကတဲက	ကြေညာကတည်းက
Found!ကျေညာချက်	ကြေညာချက်
Found!ကြော် ညာပေးခြင် း	ကြော် ညာပေးခြင်း
Found!ကြော် ညာပေးရင် း 	ကြော် ညာပေးရင်း 
Found!ကြိုတင်ပြင်ဆင်ချျိန်	ကြိုတင်ပြင်ဆင်ချိန်
Found!ုကြိုးစားစရာတွေကို	ကြိုးစားစရာတွေကို
Found!ကျိုးစားပြီး	ကြိုးစားပြီး
Found!ကြိုးစာရှာရ	ကြိုးစားရှာရ
Found!ကျိုးပမ်း	ကြိုးပမ်း
Found!ကြိုးပမ်းမှေု	ကြိုးပမ်းမှု
Found!ကျိုးပမ်းမှုတွေ	ကြိုးပမ်းမှုတွေ
Found!ကြောက်ရွှံခြင်း	ကြောက်ရွှံ့ခြင်း
Found!ုကြည့်ကောင်းတာကျမတူတော့ဘူး	ကြည့်ကောင်းတာကျမတူတော့ဘူး
Found!ကြည့်ု	ကြည့်
Found!ကြည့်ဒဲ့သူ	ကြည့်တဲ့သူ
Found!ကြည့်နေမယ့်	ကြည့်နေမယ့်
Found!ကျိနေရင်း	ကြည့်နေရင်း
Found!ကြည်ပါမယ်	ကြည့်ပါမယ်
Found!ကြည့်ပါဦးဓ	ကြည့်ပါဦး
Found!ကြည့်ပီး	ကြည့်ပြီး
Found!ကြည့်ပြေားစေချင်တယ်	ကြည့်ပြောစေချင်တယ်
Found!ကြည့်ရှှုု	ကြည့်ရှု
Found!ကြည့်ရှု ့ရန် 	ကြည့်ရှုရန် 
Found!ကြည့်ရှူုသူ	ကြည့်ရှူသူ
Found!ကြည့်လျင်	ကြည့်လျှင်
Found!ကျန့်ကြာ	ကြန့်ကြာ
Found!ကြုံကြိုက်တုံး	ကြုံကြိုက်တုန်း
Found!ကြုံဘူးတယ်	ကြုံဖူးတယ်
Found!ကြုံးသလို	ကြုံသလို
Found!ကွာတဲ့	ကွာတယ်
Found!ကွားမလည်း	ကွာမလည်း
Found!ကွေ့ပတ်တ်	ကွေ့ပတ်
Found!ကွန်ခရစ်တုံး	ကွန်ကရစ်တုံး
Found!ကွန်ပြူတာ	ကွန်ပျူတာ
Found!ကျွန်တော်တို ့ကို	ကျွန်တော်တို့ကို
Found!ကျန်နော်တို့	ကျွန်တော်တို့
Found!ကျွန်တော်တိ်ု့	ကျွန်တော်တို့
Found!ကျမတို့	ကျွန်မတို့
Found!ကျွန်မတို	ကျွန်မတို့
Found!ကျွမ် းကျင် တယ်	ကျွမ်းကျင် တယ်
Found!ကြွမ်းကျင်သူများ	ကျွမ်းကျင်သူများ
Found!ခနစောင့်	ခဏစောင့်
Found!ခနတာ	ခဏတာ
Found!ခဏထွက်ပီး	ခဏထွက်ပြီး
Found!ခများတို ့	ခများတို့
Found!ခများတို ့	ခများတို့
Found!ခရမ်းချည်	ခရမ်းချဉ်
Found!ခါးချိတ်လိ်ု့	ခါးချိတ်လို့
Found!၂၀၁၄ာခုနှစ် 	၂၀၁၄ ခုနှစ် 
Found!ခံနိင်မူ	ခံနိုင်မှု
Found!ခံနိုင်မူ	ခံနိုင်မှု
Found!ခိုလုံခဲ့ရတာ	ခိုလှုံခဲ့ရတာ
Found!ခိုစားတာ	ခိုးစားတာ
Found!ခက်ခဲလွမ်းပါတယ်	ခက်ခဲလွန်းပါတယ်
Found!ခက်ညံညံ	ခက်ညံ့ညံ့
Found!ခင် ညွန် ့	ခင် ညွန့်
Found!ခင်ညွန် ့	ခင်ညွန့်
Found!ခင်ပီဆို	ခင်ပြီဆို
Found!ခင်ဗျား။	ခင်ဗျာ။
Found!ခင်ဗျားတို	ခင်ဗျားတို့
Found!ခေါင် း	ခေါင်း
Found!ခေါင်စဉ်	ခေါင်းစဉ်
Found!ခေါင်းပြူကြည့်ကြအုန်	ခေါင်းပြူကြည့်ကြအုံး
Found!ခိုင်ခံမှု	ခိုင်ခံ့မှု
Found!ခိုင်ထူ	ခိုင်ထူး
Found!ခိုင်မလာခဲ့	ခိုင်မလာခဲ့
Found!ခုတ်ထည့်လိုပ်မယ်	ခုတ်ထည့်လိုက်မယ်
Found!ခေါတ်သစ်	ခေတ်သစ်
Found!ခေါတ်ဟောင်း	ခေတ်ဟောင်း
Found!ခန္ဓာကိ်ုယ်	ခန္ဓာကိုယ်
Found!ခန် ့ 	ခန့်
Found!ချို ့ယွင်းချက်	ချို့ယွင်းချက်
Found!ချိုးဖေါက်တာ	ချိုးဖောက်တာ
Found!ချိုးဖေါက်တာတွေ	ချိုးဖောက်တာတွေ
Found!ချုးဖောက်မှု	ချိုးဖောက်မှု
Found!ချိုးဖောက်မူ	ချိုးဖောက်မှု
Found!ချိုးဖေါက်မှု	ချိုးဖောက်မှု
Found!ချက်ကျွေူးတာ	ချက်ကျွေးတာ
Found!ချက်ခြင်း	ချက်ချင်း
Found!ချစ်ခွန်းချိိုသာ	ချစ်ခွန်းချိုသာ
Found!ချစ်နိူင်	ချစ်နိုင်
Found!ချစ်ပြား	ချစ်ပ်ပြား
Found!ကြည့်ပဲ	ချည်းပဲ
Found!ချည်းဘဲ	ချည်းပဲ
Found!ချိန်မာ	ချိန်မှာ
Found!ချုပ်ကိ်ုင်တယ်	ချုပ်ကိုင်တယ်
Found!ခြေတောက်	ခြေထောက်
Found!ခြေထှောက်နဲ ့	ခြေထှောက်နဲ့
Found!ရ၇ ခြေမြန်တပ်မ	၇၇ ခြေမြန်တပ်မ
Found!ခြိမ်းချောက်	ခြိမ်းခြောက်
Found!ခြိမ်းချောက်မှု	ခြိမ်းခြောက်မှု
Found!ခွေဘေးမဲ့ခြံကြီး	ခွေးဘေးမဲ့ခြံကြီး
Found!ခွဲပေးမာလဲ	ခွဲပေးမှာလဲ
Found!ခွင့်မလွတ်ပါနဲ့	ခွင့်မလွှတ်ပါနဲ့
Found!ဂဏာန်း	ဂဏန်း
Found!ကရုစိုက်	ဂရုစိုက်
Found!ဂရုစိ်ုက်	ဂရုစိုက်
Found!ဂရံတိီကဒ်ပါ	ဂရံတီကဒ်ပါ
Found!ဂူအနံ့	ဂူအနှံ့
Found!ဂုဏယူချင်ရင် 	ဂုဏ်ယူချင်ရင် 
Found!ဂုဏ်လည်ယူပါတယ်	ဂုဏ်လည်းယူပါတယ်
Found!ဂျင်းထည့်တယ်ကောင်	ဂျင်းထည့်တဲ့ကောင်
Found!င့ကို	ငါ့ကို
Found!ငါ	ငါ့
Found!ငါ့စီ	ငါ့ဆီ
Found!ငုံပြီ	ငုံပြီး
Found!ငယ်ငယ်တုံးက	ငယ်ငယ်တုန်းက
Found!ငြိမ်တဲံ	ငြိမ်တဲ့
Found!ငွေကြေား	ငွေကြေး
Found!ငွေဒါဏ်	ငွေဒဏ်
Found!ငွေရှာလာသည် ့	ငွေရှာလာသည့်
Found!စကားပြောရမည် ့ 	စကားပြောရမည့်
Found!စကားလူံး	စကားလုံး
Found!စတဲပ	စတဲ့
Found!စတိုခန်	စတိုခန်း
Found!စတိတ်စဉ်	စတိတ်စင်
Found!စံနစ်	စနစ်
Found!စံပါးကြီး	စပါးကြီး
Found!စပြိး	စပြီး
Found!စသည် ့	စသည့်
Found!စာတိုကုူးကြတာဖြစ်လို့ 	စာတိုကူးကြတာဖြစ်လို့ 
Found!စာတမ်	စာတမ်း
Found!စာတမ်းလမ်း	စာတမ်းလည်း
Found!စာမိက်နှာ	စာမျက်နှာ
Found!စာသင်မဲကိစ္စ	စာသင်မဲ့ကိစ္စ
Found!စာသင်မဲ့	စာသင်မယ့်
Found!စာအိပ် 	စာအိတ်
Found!စားဖို ့ 	စားဖို့
Found!စားလိုးရသည်	စားလို့ရသည်
Found!စီစဉ်ပေးနိူင်	စီစဉ်ပေးနိုင်
Found!စီပွာရှာ	စီပွားရှာ
Found!စီမန်ကိန်း	စီမံကိန်း
Found!၂ဆီး	၂စီး
Found!စီးနှင် းသူ 	စီးနှင်းသူ 
Found!စီးပွါးရေးဆိုင်ရာ	စီးပွားရေးဆိုင်ရာ
Found!စေသနာ	စေတနာ
Found!စံချိန်စံညွန်း 	စံချိန်စံညွှန်း
Found!စံချိတင်	စံချိန်တင်
Found!စိ့းမိုးရေး	စိုးမိုးရေး
Found!စိုးရိမ်ကြောင့်ကျ	စိုးရိမ်ကြောင့်ကြ
Found!စိုးရိ်မ်	စိုးရိမ်
Found!စို၇ိမ်	စိုးရိမ်
Found!စိူးလို့လါး	စိုးလို့လား
Found!စက်မူဇုံ	စက်မှုဇုန်
Found!စောင်မယ်	စောင့်မယ်
Found!စောင့်ရှောက်နိူင်ပါစေကြောင်း	စောင့်ရှောက်နိုင်ပါစေကြောင်း
Found!စောင် ့လိုက်	စောင့်လိုက်
Found!စ်ုင်းမော်ခမ်း	စိုင်းမော်ခမ်း
Found!စစ်ဗိ်ုလ်ချုပ်	စစ်ဗိုလ်ချုပ်
Found!စစ်ဘေးဒုက္ခသည်စခမ်း	စစ်ဘေးဒုက္ခသည်စခန်း
Found!စစ်ရေးိပြ	စစ်ရေးပြ
Found!စစ်ရေးပြသနာ	စစ်ရေးပြဿနာ
Found!စစ်သွေးကြ	စစ်သွေးကြွ
Found!စ႕ဉ်းစားကြည့်ပါ	စ႕ဉ်းစားကြည့်ပါ
Found!စဉ်းစားကျိရင်	စဉ်းစားကြည့်ရင်
Found!စဉ်စားသင့်ပြီ	စဉ်းစားသင့်ပြီ
Found!စည်းကမ် း	စည်းကမ်း
Found!စည်းစညိးလုံးလုံး	စည်းစည်းလုံးလုံး
Found!စည်းဖောက်မှူ	စည်းဖောက်မှု
Found!စီးဝေးပွဲ	စည်းဝေးပွဲ
Found!စိတ် ကူးကောင် း	စိတ် ကူးကောင်း
Found!စိတ်ကုန်လေဘဲ့	စိတ်ကုန်လေပဲ
Found!စိတ်ခံစားမှု့	စိတ်ခံစားမှု
Found!စိတ	စိတ်
Found!စိတ်ပက်စရာ	စိတ်ပျက်စရာ
Found!စိတ် ဖြင် ့	စိတ် ဖြင့်
Found!စိတ်မကောင်ဖြစ်ရပါတယ်	စိတ်မကောင်းဖြစ်ရပါတယ်
Found!စိတ်မချမ်းမြေ့	စိတ်မချမ်းမြေ့
Found!စုန်းမကြိး	စုန်းမကြီး
Found!စမ်းသပ်မောင်နှင်မှု	စမ်းသပ်မောင်းနှင်မှု
Found!စုံစမ်းစစ်ဆွေးမယ့်	စုံစမ်းစစ်ဆေးမယ့်
Found!စုံးစမ်း	စုံစမ်း
Found!စုံစမ်းထောက်လှန်းမှု	စုံစမ်းထောက်လှမ်းမှု
Found!စုံးစမ်းမှုမျိုး	စုံစမ်းမှုမျိုး
Found!စွဲချက်တင်နိ်ုင်သောကြောင့်	စွဲချက်တင်နိုင်သောကြောင့်
Found!စွန်လွတ်	စွန့်လွတ်
Found!စွပ်ဆွဲထားပြီး	စွပ်စွဲထားပြီး
Found!စွမ် းဆောင်	စွမ်းဆောင်
Found!တရာ	ဆရာ
Found!ဆာကေး	ဆာတေး
Found!ဆိီဆိုင်	ဆီဆိုင်
Found!ဆုတဆိပ်	ဆုတံဆိပ်
Found!ဆေးရုံတွေစီ	ဆေးရုံတွေဆီ
Found!ဆဲးပေါ့	ဆဲပေါ့
Found!စောရီးပဲ	ဆောရီးပဲ
Found!ဆိုတာ ကိုတ	ဆိုတာ ကိုက
Found!ဆိုပေမဲ့	ဆိုပေမယ့်
Found!ဆိုဘဲ့	ဆိုပဲ
Found!ဆိုပီးတော့	ဆိုပြီးတော့
Found!ဆိုရင်တော	ဆိုရင်တော့
Found!ဆို၇င်တော့	ဆိုရင်တော့
Found!ဆိုရှယ်လစ်နဲလဲ	ဆိုရှယ်လစ်နဲ့လဲ
Found!ဆ်ုလိုတာ	ဆိုလိုတာ
Found!ဆိုသည် ့ 	ဆိုသည့်
Found!ဆိုးကျိူးတွေ	ဆိုးကျိုးတွေ
Found!စိုးဝါးနေတယ်	ဆိုးဝါးနေတယ်
Found!ဆက်တံတာမျိုး	ဆက်ဆံတာမျိုး
Found!ဆက်နွှယ်ဖွယ်	ဆက်နွယ်ဖွယ်
Found!ဆပ်လုတ်	ဆက်လုပ်
Found!ဆက်လျှောက်ရမယ်	ဆက်လျှောက်ရမယ့်
Found!ဆက်သွယ်နိူင်ပါတယ်	ဆက်သွယ်နိုင်ပါတယ်
Found!ဆောက်လက်ဆ	ဆောက်လက်စ
Found!ဆင်ခြင်မှူ	ဆင်ခြင်မှု
Found!ဆင်ဆင်ချင်ချင်	ဆင်ဆင်ခြင်ခြင်
Found!ဆင်ရဲခဲ့ပုံ	ဆင်းရဲခဲ့ပုံ
Found!ဆောင်ရွက် နိ်ုင်ခြေရှိတဲ့ 	ဆောင်ရွက် နိုင်ခြေရှိတဲ့ 
Found!ဆောင်ရွှက်ပါတယ် 	ဆောင်ရွက်ပါတယ် 
Found!ဆိုင်ရ	ဆိုင်ရာ
Found!ဆိုင် းပုဒ် 	ဆိုင်းပုဒ် 
Found!ဆုပ်ယုတ် 	ဆုတ်ယုတ် 
Found!ဆုံးဖြတ်ပီး	ဆုံးဖြတ်ပြီး
Found!ဆုံးမ မှာလည်း	ဆုံးမ မှာလဲ
Found!ဆုံးရှူံး	ဆုံးရှုံး
Found!ဆုံးရှုံမှု	ဆုံးရှုံးမှု
Found!ဆေးွနွေးနေကြသော	ဆွေးနွေးနေကြသော
Found!ဆွေးနွေးပွဲလေ	ဆွေးနွေးပွဲလေး
Found!ဆေးွနွေးမယ့်	ဆွေးနွေးမယ့်
Found!စွဲခေါ်	ဆွဲခေါ်
Found!ဆွဲဆောင်မှု့	ဆွဲဆောင်မှု
Found!စနီးမောင်နှံ	ဇနီးမောင်နှံ
Found!ဇူလိ်ုင်လ	ဇူလိုင်လ
Found!ဇောတ်ကားများကို	ဇာတ်ကားများကို
Found!ဇတ်စဉ်	ဇာတ်စင်
Found!ဇတ်	ဇာတ်
Found!ဈေူကွက်	ဈေးကွက်
Found!ဈေုး	ဈေး
Found!ဈေးတေ	ဈေးတွေ
Found!ဈေးလျော့ချင်လျော့	ဈေးလျှော့ချင်လျှော့
Found!ညယ်မလေး	ညီမလေး
Found!ည့ံတာ	ညံ့တာ
Found!ညိုည်ိုသင်း	ညိုညိုသင်း
Found!ညစ်ပါတ်တဲ့	ညစ်ပတ်တဲ့
Found!ညှိခဲ့တာ်တွေ	ညှိခဲ့တာတွေ
Found!ညွှိနှိုင်းဆွေးနွေး	ညှိုနှိုင်းဆွေးနွေး
Found!ညှိးငယ်စွာဖြင့်	ညှိုးငယ်စွာဖြင့်
Found!ညွန်ကြားရေးမှူး	ညွှန်ကြားရေးမှူး
Found!ဋ္ဌာန	ဌာန
Found!တကြိ်မ်	တကြိမ်
Found!တခါထဲ	တခါထဲ
Found!တခါပျင်	တခါပြင်
Found!တခု	တခု
Found!တချို ့	တချို့
Found!တချို ့ 	တချို့
Found!တဂို	တဂိုး
Found!တရိူက်မတ်မတ်	တစိုက်မတ်မတ်
Found!တပြေညီ	တပြေးညီ
Found!တဖက်နိုင်ငံဖက်	တဖက်နိုင်ငံဘက်
Found!တယောက်	တယောက်
Found!တရားပွဲပြိးတော့	တရားပွဲပြီးတော့
Found!တရာမဝင်	တရားမဝင်
Found!တရားမဝင်သတ်ဖြတ်ခြငး် 	တရားမဝင်သတ်ဖြတ်ခြင်း
Found!တရုပ်	တရုတ်
Found!တလက်ဆတည်းမှာပဲ	တလက်စတည်းမှာပဲ
Found!တအာင်း	တအောင်း
Found!တာပန်	တာဝန်
Found!တာဝန်ရှိ်သူတွေ	တာဝန်ရှိသူတွေ
Found!တာဆီးကာကွယ်	တားဆီးကာကွယ်
Found!တူမှာ	တူမှ
Found!တဲံ	တဲ့
Found!တဲလေး	တဲ့လေး
Found!တော်တော်လေးတော	တော်တော်လေးတော့
Found!တော်တယ်ဘဲ	တော်တယ်ပဲ
Found!တော်ဝင်အမိန်	တော်ဝင်အမိန့်
Found!တို ့ ကို 	တို့ကို 
Found!တို ့	တို့
Found!တိုဟာ	တို့ဟာ
Found!တိုးမြင့်လာပါတယ်	တိုးမြှင့်လာပါတယ်
Found!တက္ကသိ်ုလ်	တက္ကသိုလ်
Found!တက္ကသိ်ုလ်ဝင်	တက္ကသိုလ်ဝင်
Found!တက်က	တက်
Found!တ်တတ်ကြွကြွ	တက်တက်ကြွကြွ
Found!တက်လည်း	တက်လမ်း
Found!တိ်ုက်ခိုက်	တိုက်ခိုက်
Found!တိုက်ခိ်ုက်တဲ့	တိုက်ခိုက်တဲ့
Found!တိုက်ခိ်ုက်နေ	တိုက်ခိုက်နေ
Found!တိုက်ခိုုက်ပါ	တိုက်ခိုက်ပါ
Found!တိ်ုက်ခိုက်ဖို့	တိုက်ခိုက်ဖို့
Found!တိ်ုက်ခိုက်မှု	တိုက်ခိုက်မှု
Found!တိုက်ခိ်ုက်မှု	တိုက်ခိုက်မှု
Found!တိုက်ခိိုက်မှုအတွင်း	တိုက်ခိုက်မှုအတွင်း
Found!တိ်ုက်တွန်း	တိုက်တွန်း
Found!တိ်ုက်ပွဲ	တိုက်ပွဲ
Found!တုက်ပွဲ	တိုက်ပွဲ
Found!တင်ထာတယ်	တင်ထားတယ်
Found!တင်အောင်မြင့့်ဦး	တင်အောင်မြင့်ဦး
Found!တောင်ကိုရီးား	တောင်ကိုရီးယား
Found!တောင်ကိုးရီးယား	တောင်ကိုရီးယား
Found!တောင်ပန်လို့	တောင်းပန်လို့
Found!တောင်ပန်အပ်ပါတယ်	တောင်းပန်အပ်ပါတယ်
Found!တိ်ုင်ပင်ကြပါတယ်	တိုင်ပင်ကြပါတယ်
Found!တိုင်းတားတဲ့	တိုင်းတာတဲ့
Found!တိုင်ပြည်ချစ်စိတ်	တိုင်းပြည်ချစ်စိတ်
Found!တိုုင်းပြည်	တိုင်းပြည်
Found!တိုင်ရင်းသား	တိုင်းရင်းသား
Found!တိုငး်ရုံး	တိုင်းရုံး
Found!တခု	တခု
Found!တစ်ခုထည်း	တစ်ခုတည်း
Found!တစ်ခုလူံး	တစ်ခုလုံး
Found!တစ်ချိ်န်က	တစ်ချိန်က
Found!တစ်ချိ်န်မှာ	တစ်ချိန်မှာ
Found!တစ်နေ	တစ်နေ့
Found!တစ်နေ ့	တစ်နေ့
Found!တစ်နိူင်ငံလုံး	တစ်နိုင်ငံလုံး
Found!တယောက်	တယောက်
Found!တစ်ဉီးချင်းစီ	တစ်ဦးချင်းစီ
Found!တည်းဆောက်ထားပါတယ်	တည်ဆောက်ထားပါတယ်
Found!တည်ဖြတ်	တည်းဖြတ်
Found!တက်နိုင်	တတ်နိုင်
Found!တိတ်တစိတ်	တိတ်တဆိတ်
Found!တန်ဖိုးမဖြတ်နိူင်	တန်ဖိုးမဖြတ်နိုင်
Found!တုံးကလို	တုန်းကလို
Found!တပ်ဖွဲ	တပ်ဖွဲ့
Found!တပ်မတာ်	တပ်မတော်
Found!တပ်မတော်ဖက်က	တပ်မတော်ဘက်က
Found!တုန့်ပြန်	တုံ့ပြန်
Found!တယ်လီဖုန်	တယ်လီဖုန်း
Found!ဒေက	တွေက
Found!တေကိုတိုင်	တွေကိုယ်တိုင်
Found!အတွေကြားထဲ	တွေကြားထဲ
Found!တွေ ့ ကရာ	တွေ့ကရာ
Found!တွေ ့ခဲ့တဲ့ 	တွေ့ခဲ့တဲ့ 
Found!တွေ့ချင်းလို့	တွေ့ချင်လို့
Found!တွေ ့ဆုံ 	တွေ့ဆုံ 
Found!တွေ့စုံသည်	တွေ့ဆုံသည်
Found!တွေ ့တယ်	တွေ့တယ်
Found!တွေနေရတော့	တွေ့နေရတော့
Found!တွေ့ပါပီ	တွေ့ပါပြီ
Found!တွေ ့ရင်	တွေ့ရင်
Found!တွေ့ရှိမဲ့	တွေ့ရှိမယ့်
Found!တွေး့လိုက်ရင်	တွေးလိုက်ရင်
Found!တွေးလိမ် ့မယ် 	တွေးလိမ့်မယ် 
Found!တွေးလိမ် ့မယ်	တွေးလိမ့်မယ်
Found!တွဲပီး	တွဲပြီး
Found!တွဲးပြီး	တွဲပြီး
Found!တွက်ကြ်ည့် တော့ 	တွက်ကြည့် တော့ 
Found!တွန်းားပေးနိုင်	တွန်းအားပေးနိုင်
Found!ထပီး	ထပြီး
