Found!ကလဝိကင််	ကလဝိကင်
Found!ကလေးသူကယ်	ကလေးသူငယ်
Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ကာကွယ်နိ်ုင်အောင်	ကာကွယ်နိုင်အောင်
Found!ကာရကံရှင်	ကာယကံရှင်
Found!ကါရဂ ံရှင်	ကာယကံရှင်
Found!ကာရဝေလ႞	ကာရဝေလ
Found!ကာဠသုတၩ	ကာဠသုတ
Found!ကားကျပ်တာရယ်	ကားကြပ်တာရယ်
Found!ကားမောင်သမား	ကားမောင်းသမား
Found!ကိလဥ်ဇ	ကိလဉ်ဇ
Found!ကုရုဂင််	ကုရုဂင်
Found!ကုူညီစောင့်ရှောက်ရမှာပေါ့	ကူညီစောင့်ရှောက်ရမှာပေါ့
Found!ကူးသွားပါတယျ	ကူးသွားပါတယ်
Found!ကဲ့သလို၊	ကဲ့သို့၊
Found!ကော်မီတိ	ကော်မတီ
Found!ကော်မီတီ	ကော်မတီ
Found!ကိုကိုဂြာီး	ကိုကိုကြီး
Found!ကိုကော	ကိုရော
Found!ကိုလံဘီယား	ကိုလံဘီယာ
Found!ကိုယ်သိဒယ်	ကိုသိတယ်
Found!ကိုးကန် ့	ကိုးကန့်
Found!ကိုးကန် ့ 	ကိုးကန့်
Found!ကိုးကန် ့ နဲ ့ 	ကိုးကန့်နဲ့ 
Found!ကောက်ကိုင်လိ်ုက်မိသည်	ကောက်ကိုင်လိုက်မိသည်
Found!ကင်းလွခွင့်	ကင်းလွတ်ခွင့်
Found!ကောင်းကောငး်	ကောင်းကောင်း
Found!ကောင်းကျပါတယ်	ကောင်းကြပါတယ်
Found!ကောင်းပဗျာ	ကောင်းပါ့ဗျာ
Found!ကိုင်တယ်ဖြေရှင်းပေးဖို့	ကိုင်တွယ်ဖြေရှင်းပေးဖို့
Found!ကန်းတော့ပါသည်	ကန်တော့ပါသည်
Found!ကုန်ဆုူံစေပါတယ်	ကုန်ဆုံးစေပါတယ်
Found!ကုန်ဆုံးပြိး	ကုန်ဆုံးပြီး
Found!ကုန် ပစ္စည် း	ကုန် ပစ္စည်း
Found!ကုတ်သွယ်ရေး	ကုန်သွယ်ရေး
Found!ကပ်နေပါဘီနော်	ကပ်နေပါပြီနော်
Found!ကတ်မှီသွားနဲ့	ကပ်မှီသွားနဲ့
Found!ကမ္ဘာ့ကျော်	ကမ္ဘာကျော်
Found!ကမ္ဘ္ဒာမှာ	ကမ္ဘာမှာ
Found!ကမ် းလှမ် းမှု	ကမ်းလှမ်းမှု
Found!ကမ် းလှမ် းလိုက် သည်	ကမ်းလှမ်းလိုက် သည်
Found!ကယ်တိုင်နိုင်ခဲ့ပါတယ်	ကယ်တင်နိုင်ခဲ့ပါတယ်
Found!ကိ်ုယ် 	ကိုယ် 
Found!ကိုယ်ကျိူး	ကိုယ်ကျိုး
Found!ကိုယ်ကြိုး	ကိုယ်ကျိုး
Found!ကိုယ်ခြင်းစာ	ကိုယ်ချင်းစာ
Found!ကိုယ်ချင်းစာကြည့်စေချင်တယ််	ကိုယ်ချင်းစာကြည့်စေချင်တယ်
Found!ကိယ် ချင်းမစာ	ကိုယ်ချင်းမစာ
Found!ကိုယ်စီကိုယ်ဌ	ကိုယ်စီကိုယ်ငှ
Found!ကိ်ုယ်စီနဲ့	ကိုယ်စီနဲ့
Found!ကိုယ့်တိုင်ကစပြီး	ကိုယ်တိုင်ကစပြီး
Found!ကိုယ်တိ်ုင်ကိုယ်ကျ	ကိုယ်တိုင်ကိုယ်ကျ
Found!ကိုယ်တိုင်ဘဲ	ကိုယ်တိုင်ပဲ
Found!ကိ်ုယ်တိုင်လည်း	ကိုယ်တိုင်လည်း
Found!ကိုယ် ပို်ုင် 	ကိုယ် ပိုင် 
Found!ကိုယ်လုံုးတီး	ကိုယ်လုံးတီး
Found!ကိိုယ်ဟာ 	ကိုယ်ဟာ 
Found!ကိုယ်အလေးချိ်န်	ကိုယ်အလေးချိန်
Found!ကိ်ုယ်ကိုယ့်ကို	ကိုယ့်ကိုယ်ကို
Found!ကိုယ့်ကိုယ်ကိုယ်လညး်	ကိုယ့်ကိုယ်ကိုယ်လည်း
Found!ကိုဂိုးကိုယ်ဘဲသွင်းမှာပေါ့လိ်ု့	ကိုယ့်ဂိုးကိုယ်ပဲသွင်းမှာပေါ့လို့
Found!ကို့နိုင်ငံထုတ်ပစ္စည်းကို 	ကိုယ့်နိုင်ငံထုတ်ပစ္စည်းကို 
Found!ကို့ပြည်တငွ်းဖြစ်ကို	ကိုယ့်ပြည်တွင်းဖြစ်ကို
Found!ကိုယ် ့မှာ ရှိသည် ့ 	ကိုယ့်မှာ ရှိသည့်
Found!ကိ်ုယ့်ဟာကိ်ုယ်တော့	ကိုယ့်ဟာကိုယ်တော့
Found!ကိုယ့်အသိစိတ်နဲ့ကိုုယ်	ကိုယ့်အသိစိတ်နဲ့ကိုယ်
Found!ကြေနပ်တာမဟုတ်ဘူး	ကျေနပ်တာမဟုတ်ဘူး
Found!ကြေနပ်နိုင်မှု	ကျေနပ်နိုင်မှု
Found!ကျေးပွန်းစွား	ကျေပွန်စွာ
Found!ကျေးငှက်တေအွတကွ်	ကျေးငှက်တွေအတွက်
Found!ကျေးဂျူးတင်ပါတယ်	ကျေးဇူးတင်ပါတယ်
Found!ကျေးရွာကိ်ု	ကျေးရွာကို
Found!ကျေး၇ွာ	ကျေးရွာ
Found!ကျော်လွှာ	ကျော်လွှား
Found!ကျောက်တငွ်းကြီး	ကျောက်တွင်းကြီး
Found!ကျောက်ပနナု 	ကျောက်ပနု
Found!ကျောင် းတွင် းသို့	ကျောင်းတွင်းသို့
Found!ကျောင်းရောက်နေပါပီဏော်	ကျောင်းရောက်နေပါပီနော်
Found!ကျောင် းသား	ကျောင်းသား
Found!ကျောင်းသားတွေဘဲ	ကျောင်းသားတွေပဲ
Found!ကျောင်အုပ်	ကျောင်းအုပ်
Found!ကျန် သည် ့ 	ကျန် သည့်
Found!ကျုပ်တို ့က	ကျုပ်တို့က
Found!ကျနော်တို့	ကျွန်တော်တို့
Found!ကြပါလိုစ်	ကြပါလို့
Found!ကြျသွားခဲ့ပါတယ်	ကြသွားခဲ့ပါတယ်
Found!ကြာတော့မှာ	ကြာတော့မှ
Found!ကြားခဲ့၇တော့တာပါပဲ	ကြားခဲ့ရတော့တာပါပဲ
Found!ကြားဘူးတယ်	ကြားဖူးတယ်
Found!ကြီးဆိုးလာနိုင်တယ်	ကြီးစိုးလာနိုင်တယ်
Found!ကြီးပြင်းခဲရ	ကြီးပြင်းခဲ့ရ
