Found!ကနေ ့	ကနေ့
Found!ကလဝိကင််	ကလဝိကင်
Found!ကလိဂင််	ကလိဂင်
Found!ကလိဂင််ရ	ကလိဂင်ရ
Found!ခရေးတွေ	ကလေးတွေ
Found!ကလေးသူကယ်	ကလေးသူငယ်
Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ကာကွယ်နိ်ုင်အောင်	ကာကွယ်နိုင်အောင်
Found!ကာရကံရှင်	ကာယကံရှင်
Found!ကါရဂ ံရှင်	ကာယကံရှင်
Found!ကာရဝေလ႞	ကာရဝေလ
Found!ကာဠသုတၩ	ကာဠသုတ
Found!ကားကျပ်တာရယ်	ကားကြပ်တာရယ်
Found!ကားမောင်သမား	ကားမောင်းသမား
Found!ကိလဥ်ဇ	ကိလဉ်ဇ
Found!ကုရုဂင််	ကုရုဂင်
Found!ကုူညီစောင့်ရှောက်ရမှာပေါ့	ကူညီစောင့်ရှောက်ရမှာပေါ့
Found!ကူးသွားပါတယျ	ကူးသွားပါတယ်
Found!ကော်မီတိ	ကော်မတီ
Found!ကော်မီတီ	ကော်မတီ
Found!ကိုကိုဂြာီး	ကိုကိုကြီး
Found!ကိုကော	ကိုရော
Found!ကိုလံဘီယား	ကိုလံဘီယာ
Found!ကိုးကန် ့	ကိုးကန့်
Found!ကောက်ကိုင်လိ်ုက်မိသည်	ကောက်ကိုင်လိုက်မိသည်
Found!ကောင်းကျပါတယ်	ကောင်းကြပါတယ်
Found!ကိုင်တယ်ဖြေရှင်းပေးဖို့	ကိုင်တွယ်ဖြေရှင်းပေးဖို့
Found!ဂဏဍ္ဍ	ကဏ္ဏ
Found!ကပ်ပြား	ကဒ်ပြား
Found!ကန်းတော့ပါသည်	ကန်တော့ပါသည်
Found!ကုန်ကျမ်း	ကုန်ကြမ်း
Found!ကုန်ဆုံးပြိး	ကုန်ဆုံးပြီး
Found!ကုန် ပစ္စည် း	ကုန် ပစ္စည်း
Found!ကုတ်သွယ်ရေး	ကုန်သွယ်ရေး
Found!ကပ်နေပါဘီနော်	ကပ်နေပါပြီနော်
Found!ကတ်မှီသွားနဲ့	ကပ်မှီသွားနဲ့
Found!ကမ္ဘာ့ကျော်	ကမ္ဘာကျော်
Found!ကိ်ုယ် 	ကိုယ် 
Found!ကို်ယ်	ကိုယ်
Found!ကိုယ်ကျိူး	ကိုယ်ကျိုး
Found!ကိုယ်ကြိုး	ကိုယ်ကျိုး
Found!ကိုယ်ခြင်းစာ	ကိုယ်ချင်းစာ
Found!ကိုယ်ချင်းစာကြည့်စေချင်တယ််	ကိုယ်ချင်းစာကြည့်စေချင်တယ်
Found!ကိုယ်စားလည်	ကိုယ်စားလှယ်
Found!ကိုယ်စီကိုယ်ဌ	ကိုယ်စီကိုယ်ငှ
Found!ကိ်ုယ်စီနဲ့	ကိုယ်စီနဲ့
Found!ကိုယ့်တိုင်ကစပြီး	ကိုယ်တိုင်ကစပြီး
Found!ကိုယ်တိ်ုင်ကိုယ်ကျ	ကိုယ်တိုင်ကိုယ်ကျ
Found!ကိုယ်တိုင်ဘဲ	ကိုယ်တိုင်ပဲ
Found!ကိ်ုယ်တိုင်လည်း	ကိုယ်တိုင်လည်း
Found!ကိုယ်လုံုးတီး	ကိုယ်လုံးတီး
Found!ကိိုယ်ဟာ 	ကိုယ်ဟာ 
Found!ကိုယ်အလေးချိ်န်	ကိုယ်အလေးချိန်
Found!ကိ်ုယ့်	ကိုယ့်
Found!ကိုယ့်အသိစိတ်နဲ့ကိုုယ်	ကိုယ့်အသိစိတ်နဲ့ကိုယ်
Found!ကြေနပ်တာမဟုတ်ဘူး	ကျေနပ်တာမဟုတ်ဘူး
Found!ကြေနပ်နိုင်မှု	ကျေနပ်နိုင်မှု
Found!ကျေးကျွှန်	ကျေးကျွန်
Found!ကျေးဂျူးတင်ပါတယ်	ကျေးဇူးတင်ပါတယ်
Found!ကျေးရွာကိ်ု	ကျေးရွာကို
Found!ကျေး၇ွာ	ကျေးရွာ
Found!ကျော်လွှာ	ကျော်လွှား
Found!ကြက်သရေ	ကျက်သရေ
Found!ကျော်း	ကျောင်း
Found!ကျောင် း	ကျောင်း
Found!ကျောင်းရောက်နေပါပီဏော်	ကျောင်းရောက်နေပါပီနော်
Found!ကျောင် းသား	ကျောင်းသား
Found!ကျောင်းသားတွေဘဲ	ကျောင်းသားတွေပဲ
Found!ကျောင်းသားနဲ့ဘဲ	ကျောင်းသားနဲ့ပဲ
Found!ကျောင်းသွားနေကျ	ကျောင်းသွားနေကြ
Found!ကျောင်အုပ်	ကျောင်းအုပ်
Found!ကျမ်းမာရေး	ကျန်းမာရေး
Found!ကျန်းမာရေးဘတ်	ကျန်းမာရေးဘက်
Found!ကျုပ်တို ့က	ကျုပ်တို့က
Found!ကျုပ်တို ့	ကျုပ်တို့
Found!ကြျသွားခဲ့ပါတယ်	ကြသွားခဲ့ပါတယ်
Found!ကြာတော့မှာ	ကြာတော့မှ
Found!ကြာပီ	ကြာပြီ
Found!ကြားခဲ့၇တော့တာပါပဲ	ကြားခဲ့ရတော့တာပါပဲ
Found!ကြားဘူးတယ်	ကြားဖူးတယ်
Found!ကြီးဆိုးလာနိုင်တယ်	ကြီးစိုးလာနိုင်တယ်
Found!ကြိးတာ	ကြီးတာ
Found!ကြီးပြင်းခဲရ	ကြီးပြင်းခဲ့ရ
Found!ကြီးပြင်းခဲ့၇တဲ့	ကြီးပြင်းခဲ့ရတဲ့
Found!ကြိးပြင်းခဲ့၇တယ်	ကြီးပြင်းခဲ့ရတယ်
Found!ကျေညာ	ကြေညာ
Found!ကျေညာချက်	ကြေညာချက်
Found!ကြော် ညာပေးခြင် း	ကြော် ညာပေးခြင်း
Found!ကြော် ညာပေးရင် း 	ကြော် ညာပေးရင်း 
Found!ကြိုတင်ပြင်ဆင်ချျိန်	ကြိုတင်ပြင်ဆင်ချိန်
Found!ုကြိုးစားစရာတွေကို	ကြိုးစားစရာတွေကို
Found!ကျိုးစားပြီး	ကြိုးစားပြီး
Found!ကြိုးစာရှာရ	ကြိုးစားရှာရ
Found!ကြိုးပမ်းမှေု	ကြိုးပမ်းမှု
Found!ကျိုးပမ်းမှုတွေ	ကြိုးပမ်းမှုတွေ
Found!ကြောက်ရွှံခြင်း	ကြောက်ရွှံ့ခြင်း
Found!ုကြည့်ကောင်းတာကျမတူတော့ဘူး	ကြည့်ကောင်းတာကျမတူတော့ဘူး
Found!ကြည့်ု	ကြည့်
Found!ကြည့်ဒဲ့သူ	ကြည့်တဲ့သူ
Found!ကြည့်တတ်ဘို 	ကြည့်တတ်ဖို့
Found!ကြည့်နေမယ့်	ကြည့်နေမယ့်
Found!ကြည်ပါမယ်	ကြည့်ပါမယ်
Found!ကြည့်ပါဦးဓ	ကြည့်ပါဦး
Found!ကြည့်ပီး	ကြည့်ပြီး
Found!ကြည့်ပြိး	ကြည့်ပြီး
Found!ကြည့်ပြေားစေချင်တယ်	ကြည့်ပြောစေချင်တယ်
Found!ကြည့်ရှူုသူ	ကြည့်ရှူသူ
Found!ကြည့်လျင်	ကြည့်လျှင်
Found!ကြုံဘူးတယ်	ကြုံဖူးတယ်
Found!ကြုံးသလို	ကြုံသလို
Found!ကွားမလည်း	ကွာမလည်း
Found!ကွန်ခရစ်တုံး	ကွန်ကရစ်တုံး
Found!ကွန်ပြူတာ	ကွန်ပျူတာ
Found!ကျွန်တော်တို ့ကို	ကျွန်တော်တို့ကို
Found!ကျန်နော်တို့	ကျွန်တော်တို့
Found!ကျွန်တော်တိ်ု့	ကျွန်တော်တို့
Found!ကျ့န်တော့်	ကျွန်တော့်
Found!ကျွန်မတို	ကျွန်မတို့
Found!ကျွမ် းကျင် တယ်	ကျွမ်းကျင် တယ်
Found!ကြွမ်းကျင်သူများ	ကျွမ်းကျင်သူများ
