### Method: cosine/
baseline-1: Found 1052
map1-1: Found 906
map2-1: Found 940
map3-1: Found 433
baseline-2: Found 245
map1-2: Found 854
map2-2: Found 869
map3-2: Found 432
baseline-3: Found 43
map1-3: Found 859
map2-3: Found 866
map3-3: Found 433
### Method: damerau_levenshtein/
baseline-1: Found 1517
map1-1: Found 1587
map2-1: Found 1504
map3-1: Found 1076
baseline-2: Found 1710
map1-2: Found 1392
map2-2: Found 1197
map3-2: Found 795
baseline-3: Found 1436
map1-3: Found 918
map2-3: Found 728
map3-3: Found 464
### Method: hamming_distance/
baseline-1: Found 711
map1-1: Found 1078
map2-1: Found 1014
map3-1: Found 522
baseline-2: Found 895
map1-2: Found 912
map2-2: Found 805
map3-2: Found 470
baseline-3: Found 872
map1-3: Found 682
map2-3: Found 578
map3-3: Found 362
### Method: jaccard/
baseline-1: Found 95
map1-1: Found 310
map2-1: Found 264
map3-1: Found 3
baseline-2: Found 827
map1-2: Found 685
map2-2: Found 406
map3-2: Found 9
baseline-3: Found 743
map1-3: Found 266
map2-3: Found 90
map3-3: Found 9
### Method: jaro_winkler/
baseline-1: Found 1667
map1-1: Found 1528
map2-1: Found 1371
map3-1: Found 211
baseline-2: Found 260
map1-2: Found 52
map2-2: Found 10
map3-2: Found 0
baseline-3: Found 1
map1-3: Found 2
map2-3: Found 2
map3-3: Found 0
### Method: levenshtein/
baseline-1: Found 1472
map1-1: Found 1575
map2-1: Found 1494
map3-1: Found 1049
baseline-2: Found 1709
map1-2: Found 1391
map2-2: Found 1195
map3-2: Found 800
baseline-3: Found 1433
map1-3: Found 918
map2-3: Found 730
map3-3: Found 465
